"Name","Geodaten"
"Adaqvas ( = Acquasanta Terme)","POINT(13.411003 42.77076)"
"Palacrinis ( = Collicelle)","POINT(13.170745 42.594341)"
"Interocrio ( = Antrodoco)","POINT(13.081007 42.416065)"
"Fisternas ( = ~ Vigliano)","POINT(13.218756 42.347927)"
"Ervlos ( = Civitatomassa)","POINT(13.278637 42.351517)"
"Pitinvm ( = ~ L'Aquila)","POINT(13.377905 42.348274)"
"Amiternvs ( = San Vittorino Amiterno)","POINT(13.314537 42.397018)"
"Aqve cvtillie ( = Paterno ~ Cittaducale)","POINT(13.009844 42.385975)"
"Reate ( = Rieti)","POINT(12.860756 42.402824)"
"Fidenis ( = Borgata Fidene)","POINT(12.512541 41.974018)"
"ROMA ( = Roma)","POINT(12.482324 41.895466)"
"Inter manana ( = Terne)","POINT(12.646763 42.560246)"
"Farfar Fl. ( = Fiume Farfa)","POINT(12.734131 42.242153)"
"Aqva viva ( = Acquaviva)","POINT(12.674618 42.418831)"
"Advicesimv̅ ( = ~ Morlupo)","POINT(12.498463 42.147205)"
"Sicca Ve̅ria ( = El Kef)","POINT(8.71414 36.179272)"
"Spoletio ( = Spoleto)","POINT(12.73843 42.745335)"
"Fano Fvgitivi ( = Monte Somma ~ Spoleto)","POINT(12.728348 42.663506)"
"Interamnio ( = Terni)","POINT(12.64698 42.560413)"
"Pirvsio ( = Perugia)","POINT(12.389172 43.110703)"
"Vetona ( = Bettona)","POINT(12.485417 43.01368)"
"Tvder ( = Todi)","POINT(12.408453 42.780231)"
"Ameria ( = Amelia)","POINT(12.413149 42.55666)"
"Faleros ( = Civita Castellana)","POINT(12.411516 42.288841)"
"Nepe ( = Nepi)","POINT(12.346574 42.243927)"
"Vacanas ( = Baccano ~ Campagnano di Roma)","POINT(12.36733 42.118999)"
"Veios ( = Veio ~ Isola Farnese)","POINT(12.393079 42.019669)"
"Ad Sextvm ( = Tomba di Nerone)","POINT(12.443421 41.972961)"
"Pallia Fl. ( = ~ Castel Viscardo)","POINT(11.999555 42.754555)"
"Volsinis ( = Bolsena)","POINT(11.986111 42.644852)"
"Foro cassi ( = ~ Vetralla)","POINT(12.053244 42.320854)"
"Vico Matrini ( = Vico Matrino)","POINT(12.123611 42.278297)"
"Svtrio ( = Sutri)","POINT(12.220369 42.242722)"
"Tvscana ( = Tuscania)","POINT(11.870288 42.419247)"
"MARTA ( = Fiume Marta)","POINT(11.813209 42.383881)"
"Dlera ( = Blera)","POINT(12.027539 42.272682)"
"Foro clodo ( = Forum Clodii)","POINT(12.167955 42.126751)"
"Tarqvinis ( = Tarquinia)","POINT(11.758469 42.254696)"
"Aqvas Apollinaris ( = Bagni di Stigliano)","POINT(12.042518 42.116741)"
"Bebiana ( = ~ Torrimpietra)","POINT(12.199981 41.916168)"
"Lorio ( = Castel di Guido)","POINT(12.283841 41.903152)"
"Aqvas tavri ( = Bagni di Traiano ~ Civitavecchia)","POINT(11.786513 42.104271)"
"Armenita Fl. ( = Fiume Fiora)","POINT(11.603909 42.350502)"
"Mvbsi ( = El Krib)","POINT(9.034998 36.3321)"
"Marta Fl. ( = Fiume Marta)","POINT(11.730938 42.252232)"
"Gravisca ( = ~ Lido di Tarquinia)","POINT(11.707209 42.224579)"
"Mindo Fl. ( = Mignone)","POINT(11.785963 42.195438)"
"Centv̅ cellis ( = Civitavecchia)","POINT(11.796814 42.091179)"
"Castro Novo ( = Chiaruccia ~ Santa Marinella)","POINT(11.834164 42.036163)"
"Pvnicvm ( = Santa Marinella)","POINT(11.854456 42.034344)"
"Alsivm ( = Palo ~ Ladispoli)","POINT(12.102714 41.934738)"
"Aobia ( = ~ Dougga)","POINT(9.23699 36.399837)"
"AD SCM̅ PETRVM ( = Vaticano)","POINT(12.453389 41.902916)"
"Castro Trentino ( = Martinsicuro)","POINT(13.915481 42.884697)"
"Castro Novo ( = Giulianova)","POINT(13.962371 42.752548)"
"Macrinv̅ ( = ~ Silvi)","POINT(14.122981 42.546741)"
"Pinna ( = Penne)","POINT(13.927475 42.457623)"
"Hadria ( = Atri)","POINT(13.981002 42.5802)"
"Salinas ( = ~ Congiunti)","POINT(14.086111 42.474239)"
"Ostia Eterni ( = Pescara)","POINT(14.214095 42.464825)"
"Ortona ( = Ortona)","POINT(14.40521 42.356911)"
"Tignica ( = ~ Tastkr)","POINT(9.444857 36.554829)"
"Anxano ( = Lanciano)","POINT(14.391379 42.233173)"
"Istonivm ( = Vasto)","POINT(14.709621 42.112705)"
"Larinv̅ ( = Larino)","POINT(14.919239 41.807129)"
"Teneapvlo ( = ~ San Paolo di Civitate)","POINT(15.261278 41.739388)"
"Siponto ( = Siponto ~ Manfredonia)","POINT(15.895949 41.606819)"
"Tichilla ( = Tastkr)","POINT(9.444857 36.554829)"
"Bardvlos ( = Barletta)","POINT(16.283991 41.319279)"
"Tvrenvm ( = Trani)","POINT(16.417578 41.275524)"
"Natiolvm ( = Giovinazzo)","POINT(16.672556 41.187534)"
"Barivm ( = Bari)","POINT(16.86838 41.125999)"
"Tvrris cesaris ( = ? Polignano a Mare)","POINT(17.216722 40.997055)"
"Gnatie ( = Torre Egnazia ~ Fasano)","POINT(17.392206 40.887329)"
"Aveia ( = Fossa)","POINT(13.487411 42.295746)"
"Membrissa ( = Mejez El Bab)","POINT(9.611422 36.652489)"
"Alba ( = Albe)","POINT(13.409064 42.079857)"
"Marrvbio ( = San Benedetto dei Marsi)","POINT(13.619357 42.004028)"
"Cirfenna ( = Collarmele)","POINT(13.626476 42.06039)"
"Tea Nomarrvci̅ ( = Chieti)","POINT(14.167151 42.351791)"
"Interpromvm ( = ? Casauria)","POINT(13.897403 42.236137)"
"Corfinio ( = Corfinio)","POINT(13.842161 42.123817)"
"Svlmone ( = Sulmona)","POINT(13.925648 42.046829)"
"Iovis Larene ( = Campo di Giove)","POINT(14.034881 42.011192)"
"Avfidena ( = Castel di Sangro)","POINT(14.108263 41.784336)"
"Esernie ( = Isernia)","POINT(14.230828 41.594334)"
"Nomento ( = Mentana)","POINT(12.63834 42.033562)"
"Tibori ( = Tivoli)","POINT(12.798272 41.963577)"
"Vari(a)e ( = Vicovaro)","POINT(12.896183 42.018204)"
"Lamnas ( = Cineto Romano)","POINT(12.961696 42.049587)"
"Carsvlis ( = Civita Seconda)","POINT(13.044235 42.081505)"
"Cabios ( = ~ Valle Martella)","POINT(12.733654 41.884796)"
"Preneste ( = Palestrina)","POINT(12.884538 41.835365)"
"Treblis ( = Trevi nel Lazio)","POINT(12.937958 41.954475)"
"Adqvintanas ( = ~ Colonna)","POINT(12.75424 41.835331)"
"Adstatvas ( = San Cesareo)","POINT(12.802618 41.814602)"
"Adbirivm ( = Valmontone)","POINT(12.917845 41.777088)"
"Conpito Anagnino ( = Anagni)","POINT(13.158999 41.742233)"
"Ferentinvm ( = Ferentino)","POINT(13.253358 41.692711)"
"Aqvino ( = Aquino)","POINT(13.705244 41.492802)"
"Casinvm ( = Montecassino)","POINT(13.813391 41.48843)"
"Teano Scedicino ( = Teano)","POINT(14.067519 41.252354)"
"Ad Rotas ( = ? Monteroduni)","POINT(14.177874 41.522266)"
"Bobiano ( = Bojano)","POINT(14.473926 41.486721)"
"Arpos ( = ~ Arpinova)","POINT(15.555465 41.475693)"
"Aecas ( = Troia)","POINT(15.308898 41.361191)"
"Aeqvotvtico ( = Masseria Starza)","POINT(15.104556 41.227352)"
"Foro novo ( = Sant'Arcangelo Trimonte)","POINT(14.939665 41.16745)"
"Canusio ( = Canosa di Puglia, Canusium)","POINT(16.066025 41.2225)"
"Benebento ( = Benevento)","POINT(14.781174 41.130447)"
"Rvbos ( = Ruvo di Puglia)","POINT(16.485165 41.118366)"
"Bvtvntos ( = Bitonto)","POINT(16.691429 41.10844)"
"Celia ( = Ceglie del Campo)","POINT(16.866104 41.06422)"
"Norve ( = Conversano)","POINT(17.115665 40.967323)"
"Venvsie ( = Venosa)","POINT(15.815796 40.962353)"
"Silvtvm ( = Gravina in Puglia)","POINT(16.419338 40.821178)"
"Potentia ( = Potenza)","POINT(15.802221 40.637241)"
"Aqviloina ( = ? Lacedonia)","POINT(15.42487 41.052368)"
"Svbromvla ( = ? Guardia Lombardi)","POINT(15.20987 40.954868)"
"Eclano ( = Mirabella Eclano)","POINT(14.99419 41.042503)"
"Calor Fl. ( = ~ Calore)","POINT(14.946456 41.055214)"
"Acerronia ( = ?Auletta)","POINT(15.425603 40.562309)"
"Nares Lvcanas ( = Scorzo)","POINT(15.265 40.578465)"
"Erdonia̅ ( = Ordona)","POINT(15.628296 41.316574)"
"Ad pirvm ( = ~ Candela)","POINT(15.496286 41.120937)"
"Foro popili ( = Polla)","POINT(15.498879 40.518219)"
"Balentivm ( = Valesio ~ Torchiarolo)","POINT(18.165304 40.356617)"
"Scamnvm ( = Masseria Muro)","POINT(17.742313 40.53857)"
"Vrbivs ( = Oria)","POINT(17.64226 40.498402)"
"Tvbvrbomaivs ( = ~ El Fahs)","POINT(9.910191 36.3778)"
"Tarento ( = Taranto)","POINT(17.240009 40.469238)"
"Anxia ( = Anzi)","POINT(15.925481 40.517666)"
"Grvmento ( = ~ Grumento Novo)","POINT(15.889704 40.283924)"
"Lvppia ( = Lecce)","POINT(18.174015 40.353291)"
"Ydrvnte ( = Otranto)","POINT(18.485754 40.148029)"
"Castra Minervae ( = Castro)","POINT(18.425945 40.002983)"
"Mandvris ( = Manduria)","POINT(17.63439 40.402817)"
"Neretvm ( = Nardò)","POINT(18.030422 40.17593)"
"Baletivm ( = Alezio)","POINT(18.059074 40.062351)"
"Vzintvm ( = Ugento)","POINT(18.158297 39.927353)"
"Cosilianvm ( = ?)","POINT(15.592337 40.39484)"
"Nervlos ( = Nerulum)","POINT(16.039995 39.953732)"
"Nteramnio ( = ~ Spezzano Albanese, Interamnium)","POINT(16.311426 39.669853)"
"Consentia ( = Cosenza)","POINT(16.253611 39.295395)"
"Annicia ( = ~ Pizzo)","POINT(16.20064 38.76387)"
"Vibona Balentia ( = Vibo Valentia)","POINT(16.097649 38.675583)"
"Scilatio ( = Roccelletta)","POINT(16.597034 38.817211)"
"Annibali ( = Catanzaro Lido, Castra Hannibalis)","POINT(16.610374 38.819771)"
"Columna Regia ( = Villa S. Giovanni)","POINT(15.638008 38.217953)"
"Regio ( = Reggio Callabra)","POINT(15.650137 38.114689)"
"Lvcis ( = Locri)","POINT(16.259895 38.236416)"
"Cavlon ( = Caulonia)","POINT(16.409851 38.382519)"
"Heraclea ( = Policoro)","POINT(16.678339 40.212967)"
"Tvris ( = ~ Sibari)","POINT(16.454241 39.748295)"
"Petelia ( = Strongoli)","POINT(17.051083 39.266075)"
"Crontona ( = Crotone)","POINT(17.127079 39.080738)"
"Lacenivm ( = Capo Colonne)","POINT(17.200001 39.033333)"
"Bobellas ( = Frattocchie)","POINT(12.617009 41.765881)"
"Aricia ( = Ariccia)","POINT(12.674063 41.721703)"
"Svblanvbio ( = San Gennaro ~ Lanuvio)","POINT(12.718549 41.681969)"
"Tres Tabernas ( = ~ Cisterna di Latina)","POINT(12.826349 41.59444)"
"Foro Appi ( = Borgo Faiti ~ Latina, Forum Appii)","POINT(12.994458 41.467976)"
"Lavrento ( = Torre Paterno)","POINT(12.389223 41.677631)"
"Hostis ( = Ostia)","POINT(12.287656 41.754856)"
"Lavinivm ( = Marcellina)","POINT(12.481242 41.665009)"
"Antivm ( = Anzio)","POINT(12.629052 41.447948)"
"Fvndis ( = Fondi)","POINT(13.43237 41.355167)"
"Formis ( = Formia)","POINT(13.605914 41.256351)"
"Mentvrnis ( = Minturno)","POINT(13.746468 41.262379)"
"Vthica ( = Oudna ~ Borj Fouaoud)","POINT(10.172291 36.607456)"
"Sinvessa ( = ~ Mondragone)","POINT(13.894555 41.115166)"
"Sepinvm ( = Altilia)","POINT(14.618447 41.43375)"
"Sirpivm ( = ? Morcone)","POINT(14.666712 41.344082)"
"Telesie ( = San Salvatore Telesino)","POINT(14.497476 41.234959)"
"Maxvla ( = Radès)","POINT(10.283333 36.766666)"
"Addiana ( = Sant'Angelo in Formis ~ Capua)","POINT(14.221111 41.100796)"
"Cofna ( = Jifna)","POINT(35.214516 31.962816)"
"Capvae ( = Santa Maria Capua Vetere)","POINT(14.256627 41.079987)"
"Cale ( = Calvi)","POINT(14.128904 41.217793)"
"Casilino ( = Capua)","POINT(14.221111 41.100796)"
"Adnovas ( = Santa Maria a Vico)","POINT(14.466763 41.026924)"
"Cavdio ( = ~ Montesarchio)","POINT(14.641278 41.06414)"
"Svessvla ( = ~ Acerra)","POINT(14.377204 40.951721)"
"Nola ( = Nola)","POINT(14.529304 40.937534)"
"Adteglanvm ( = Palma Campania ~ Napoli)","POINT(14.549704 40.865944)"
"Nvceria ( = Nocera)","POINT(14.642815 40.746094)"
"Atella ( = Succivo)","POINT(14.256574 40.969074)"
"Neapoli ( = Napoli)","POINT(14.251636 40.840096)"
"Literno ( = Liternum)","POINT(14.029821 40.921291)"
"Vvltvrno ( = ~ Castel Volturno)","POINT(13.941738 41.033703)"
"Mediocera ( = Aïn Mdeker)","POINT(10.261944 36.217499)"
"Cvmas ( = Cuma)","POINT(14.056292 40.847191)"
"In Vinias ( = ~ Pozzuoli)","POINT(14.105023 40.829884)"
"Pvteolis ( = Pozzuoli)","POINT(14.121614 40.823719)"
"Herclanivm ( = Ercolano, Herculaneum)","POINT(14.352921 40.806076)"
"Oplontis ( = Torre Annunziata)","POINT(14.465648 40.750797)"
"Pompeis ( = Pompei)","POINT(14.485429 40.749409)"
"Stabios ( = Castellamare di Stabia)","POINT(14.481674 40.696003)"
"Svrrento ( = Sorrento)","POINT(14.375738 40.62632)"
"Templvm Minervae ( = ~ Sorrento)","POINT(14.375738 40.62632)"
"Pestv̅ ( = Paestum)","POINT(15.005081 40.418667)"
"Ceserina ( = Cesernia)","POINT(15.695781 40.002319)"
"Blanda ( = Palecastro di Tortora, Iulia)","POINT(15.779675 39.930489)"
"Lavinivm ( = Praia a Mare)","POINT(15.779715 39.898148)"
"Cerelis ( = Cirella)","POINT(15.811086 39.713062)"
"Clampeia ( = Amantea)","POINT(16.075481 39.13422)"
"Depanis ( = Trapani)","POINT(12.514634 38.018589)"
"Segesto ( = ~ Calatafimi)","POINT(12.863591 37.915905)"
"Lilybeo ( = Marsala)","POINT(12.434233 37.799084)"
"Panormo ( = Palermo)","POINT(13.361376 38.11562)"
"Solvnto ( = ~ Santa Flavia)","POINT(13.527583 38.082466)"
"Thermis ( = Termini Imerese)","POINT(13.696264 37.983948)"
"Cephaledo ( = Cefalù)","POINT(14.022059 38.039471)"
"Halesa ( = Tusa)","POINT(14.236475 37.983242)"
"Calacte ( = Caronia)","POINT(14.441077 38.024193)"
"Agatinno ( = ? Capo d'Orlando)","POINT(14.746114 38.163406)"
"Tindareo ( = Tindari)","POINT(15.03996 38.145393)"
"Messana ( = Messina)","POINT(15.555523 38.192333)"
"Gvrra ( = ? Akouda)","POINT(10.563368 35.915833)"
"Saldas Colonia ( = Béjaïa)","POINT(5.066667 36.75)"
"Enna ( = Enna)","POINT(14.279706 37.567596)"
"Agvrio ( = Agira)","POINT(14.522637 37.657322)"
"Centvrippa ( = Centuripe)","POINT(14.740133 37.624023)"
"Aethna ( = ? Paternò)","POINT(14.901029 37.567287)"
"Catina ( = Catania)","POINT(15.087834 37.502483)"
"Aqvas labodes ( = Sciacca)","POINT(13.080469 37.505688)"
"Agrigento ( = Agrigento)","POINT(13.576956 37.311188)"
"Calvisiana ( = ~ Gela)","POINT(14.250765 37.066265)"
"Niblae ( = Ibla)","POINT(14.728504 36.925915)"
"Hadrito ( = Soûsse)","POINT(10.633333 35.833332)"
"Agris ( = Palazzolo Acreide)","POINT(14.904502 37.063393)"
"Siracvsis ( = Siracusa)","POINT(15.284428 37.066456)"
"Blaboriciaco ( = Lorch, Lauriacum)","POINT(14.475 48.216667)"
"Marinianio ( = Eferding)","POINT(14.02023 48.308788)"
"Arelate ( = Pöchlarn)","POINT(15.22189 48.211079)"
"Vetonianis ( = Voitsdorf)","POINT(14.06583 48.007954)"
"Tvtastione ( = Kremsdorf)","POINT(14.124515 47.889603)"
"Gabromagi ( = Windischgarsten)","POINT(14.32967 47.721588)"
"Stiriate ( = Liezen)","POINT(14.24315 47.56741)"
"Svrontio ( = Trieben)","POINT(14.48653 47.488331)"
"Tartvrsanis ( = Hohentauern)","POINT(14.48428 47.43359)"
"Cvcvllae ( = Kuchl)","POINT(13.14746 47.625702)"
"Vocario ( = Pfarrwerfen)","POINT(13.205859 47.46254)"
"Ani ( = Altenmarkt im Pongau)","POINT(13.42264 47.378181)"
"In Alpe ( = Obertauern)","POINT(13.55772 47.248299)"
"In Imvrio ( = Moosham Unternberg)","POINT(13.706592 47.10199)"
"Salinas Nvbonenenses ( = Chott el Hodna)","POINT(4.683611 35.445278)"
"Ponte sonti ( = Mainizza)","POINT(13.555015 45.907326)"
"In Alpe Ivlia ( = ?)","POINT(14.110909 45.864433)"
"Longatico ( = Logatec)","POINT(14.20588 45.911865)"
"Fonte timavi ( = ~ Monfalcone)","POINT(13.532855 45.809647)"
"Tergeste ( = Trieste)","POINT(13.778407 45.653629)"
"Parentio ( = Pore, Parentium)","POINT(13.597752 45.226696)"
"Comagenis ( = Tulln an der Donau)","POINT(16.06074 48.331631)"
"Vindobona ( = Wien)","POINT(16.373819 48.208176)"
"villagai ( = ? Schwechat)","POINT(16.4771 48.140999)"
"Aeqvinoctio ( = Fischamend)","POINT(16.613171 48.119308)"
"Carnvnto ( = Deutsch Altenburg, Carnuntum)","POINT(16.867891 48.113346)"
"Ad Flexvm ( = Mosonmagyaróvár)","POINT(17.26939 47.874405)"
"Arrabo Fl. ( = GyQr)","POINT(17.635101 47.684052)"
