"ID_morph_Typ","morph_Typ","morph_Typ_Sprache","morph_Typ_Wortart","morph_Typ_Genus","Id_basistyp","Basistyp","Sprache_Basistyp","Georeferenz"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(11.018809 47.07161)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.1875 46.968056)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.438266 46.957951)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.371739 46.950477)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.868086 46.986583)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(11.007798 46.965447)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(11.02771 46.93921)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.91289 46.85986)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(11.0273 46.87016)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(9.90835242022101 47.091964776918)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(9.89226379180673 47.281958493833)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.4102516187739 47.148120957539)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.1865010403928 46.968746070851)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.0233891100078 46.988970819326)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.2937166862644 47.015178607262)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.3758460707808 47.0634212257)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(9.80185061355571 47.170754755341)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(9.80185061355571 47.170754755341)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.3396603488087 47.147851756577)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.4577432722805 47.080355263209)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.4612664377784 47.126495748031)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(9.74378565109984 47.412384105774)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.5155739730208 47.141405050189)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.5155739730208 47.141405050189)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.3593535790646 46.943247541145)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.6594375697875 47.199063930915)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.6594375697875 47.199063930915)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.604875823357 47.038802629315)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.604875823357 47.038802629315)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.543220956732 46.969518357353)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.543220956732 46.969518357353)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.7456277863006 47.030186691723)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.7456277863006 47.030186691723)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.6638115107453 47.076607615874)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.6638115107453 47.076607615874)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.6283721125515 47.119869016603)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.6283721125515 47.119869016603)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.5656007769616 47.14049081575)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.5656007769616 47.14049081575)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.5883532622916 47.156870696361)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.5883532622916 47.156870696361)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.438266 46.957951)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.7309416717289 47.169312016157)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.7309416717289 47.169312016157)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.7620420213255 47.207190486251)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.7620420213255 47.207190486251)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.7621129756758 47.26229503779)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.7621129756758 47.26229503779)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.8304919993279 47.319811138202)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.8304919993279 47.319811138202)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.5002918357229 46.88876237858)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(9.87089095963554 47.1128898161633)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(9.82820715194829 46.9731939919122)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.8474342669553 47.066501305973)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(11.0075798069537 46.965315066817)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(11.0075798069537 46.965315066817)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(11.0075798069537 46.965315066817)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.9711183611512 47.07407233514)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.9711183611512 47.07407233514)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.9262877381679 47.135029307351)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.9262877381679 47.135029307351)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.9130119232597 46.859937380849)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.9130119232597 46.859937380849)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(11.0273395491313 46.870259427388)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(11.0273395491313 46.870259427388)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(9.99872799167641 47.011065085578)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(9.98215259015412 47.093933968537)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(9.8973339886019 47.069129214468)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(9.86258346414544 47.095465468442)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(11.34112 46.101455)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(11.313971 46.080015)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(12.036928 47.494478)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(11.340426 46.129498)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(11.226749 45.935081)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(11.212967 45.925569)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(11.322556 45.922193)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(11.125273 45.654289)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.191545556573345 46.898042753631)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.288203726337967 46.97097229454589)"
"196","Tieje","gem","sub","f","9","*tegia","vor","POINT(9.805832 46.975649)"
"196","Tieje","gem","sub","f","9","*tegia","vor","POINT(9.826893 46.798802)"
"196","Tieje","gem","sub","f","9","*tegia","vor","POINT(9.90835242022101 47.091964776918)"
"196","Tieje","gem","sub","f","9","*tegia","vor","POINT(10.0233891100078 46.988970819326)"
"196","Tieje","gem","sub","f","9","*tegia","vor","POINT(9.82820715194829 46.9731939919122)"
"196","Tieje","gem","sub","f","9","*tegia","vor","POINT(9.99872799167641 47.011065085578)"
"196","Tieje","gem","sub","f","9","*tegia","vor","POINT(9.98215259015412 47.093933968537)"
"196","Tieje","gem","sub","f","9","*tegia","vor","POINT(9.8973339886019 47.069129214468)"
"196","Tieje","gem","sub","f","9","*tegia","vor","POINT(9.86258346414544 47.095465468442)"
"20","Kasel","gem","sub",,"17","căsa(m)","lat","POINT(12.76272 46.82769)"
"20","Kasel","gem","sub",,"17","căsa(m)","lat","POINT(12.751011 46.810911)"
"20","Kasel","gem","sub",,"17","căsa(m)","lat","POINT(12.68739 46.80126)"
"20","Kasel","gem","sub",,"17","căsa(m)","lat","POINT(12.83703 46.824308)"
"20","Kasel","gem","sub",,"17","căsa(m)","lat","POINT(12.96743 46.748666)"
"20","Kasel","gem","sub",,"17","căsa(m)","lat","POINT(11.313971 46.080015)"
"20","Kasel","gem","sub",,"17","căsa(m)","lat","POINT(11.497324 45.89459)"
"20","Kasel","gem","sub",,"17","căsa(m)","lat","POINT(11.462646 45.875559)"
"20","Kasel","gem","sub",,"17","căsa(m)","lat","POINT(11.485587 45.880044)"
"20","Kasel","gem","sub",,"17","căsa(m)","lat","POINT(11.430311 45.869591)"
"20","Kasel","gem","sub",,"17","căsa(m)","lat","POINT(11.396496 45.862101)"
"20","Kasel","gem","sub",,"17","căsa(m)","lat","POINT(11.630425 45.897591)"
"2811","čaniba","sla","sub","f","20","canăva(m)","lat","POINT(13.29209 46.38235)"
"2811","čaniba","sla","sub","f","20","canăva(m)","lat","POINT(13.29209 46.38235)"
"2811","čaniba","sla","sub","f","20","canăva(m)","lat","POINT(13.30564 46.36456)"
"2811","čaniba","sla","sub","f","20","canăva(m)","lat","POINT(13.3576 46.36532)"
"2811","čaniba","sla","sub","f","20","canăva(m)","lat","POINT(13.3576 46.36532)"
"2811","čaniba","sla","sub","f","20","canăva(m)","lat","POINT(13.30564 46.36456)"
"2811","čaniba","sla","sub","f","20","canăva(m)","lat","POINT(13.30564 46.36456)"
"2973","čanibica","sla","sub","f","20","canăva(m)","lat","POINT(13.31863 46.36475)"
"2973","čanibica","sla","sub","f","20","canăva(m)","lat","POINT(13.31863 46.36475)"
"2973","čanibica","sla","sub","f","20","canăva(m)","lat","POINT(13.3576 46.36532)"
"2973","čanibica","sla","sub","f","20","canăva(m)","lat","POINT(13.3576 46.36532)"
"26","Malga","gem","sub",,"26","malga","vor","POINT(11.21819 46.239346)"
"7517","mont","gem","sub",,"29","mōnte(m)","lat","POINT(13.00396 46.58379)"
"28","Saltnerhütte","gem","sub",,"32","*sanio","vor","POINT(11.420547 46.724119)"
"28","Saltnerhütte","gem","sub",,"32","*sanio","vor","POINT(11.415339 46.689314)"
"28","Saltnerhütte","gem","sub",,"32","*sanio","vor","POINT(11.354108 46.641214)"
